surgery_year,surgery_extent_bucket,histology_bucket,central_lnd_yes_no,n_specimens,n_examined_ok,n_positive_ok,n_both_ok,n_both_unresolved,pct_examined,pct_positive,pct_both
2007,other_or_mixed,other_histology,0,12,11.0,5.0,5.0,1.0,91.67,41.67,41.67
2007,other_or_mixed,other_histology,1,5,5.0,4.0,4.0,0.0,100.0,80.0,80.0
2007,other_or_mixed,unknown_histology,0,6,3.0,1.0,1.0,3.0,50.0,16.67,16.67
2007,total_or_near_total,FTC_family,0,5,5.0,2.0,2.0,0.0,100.0,40.0,40.0
2007,total_or_near_total,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2007,total_or_near_total,PTC_family,0,22,22.0,11.0,11.0,0.0,100.0,50.0,50.0
2007,total_or_near_total,PTC_family,1,21,21.0,21.0,21.0,0.0,100.0,100.0,100.0
2007,total_or_near_total,other_histology,0,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2007,total_or_near_total,other_histology,1,5,5.0,5.0,5.0,0.0,100.0,100.0,100.0
2007,total_or_near_total,unknown_histology,0,40,39.0,0.0,0.0,1.0,97.5,0.0,0.0
2007,total_or_near_total,unknown_histology,1,16,15.0,15.0,14.0,0.0,93.75,93.75,87.5
2008,lobectomy_hemi,FTC_family,0,6,6.0,0.0,0.0,0.0,100.0,0.0,0.0
2008,lobectomy_hemi,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2008,lobectomy_hemi,PTC_family,0,27,27.0,5.0,5.0,0.0,100.0,18.52,18.52
2008,lobectomy_hemi,PTC_family,1,5,5.0,5.0,5.0,0.0,100.0,100.0,100.0
2008,lobectomy_hemi,unknown_histology,0,87,85.0,6.0,5.0,1.0,97.7,6.9,5.75
2008,lobectomy_hemi,unknown_histology,1,34,34.0,34.0,34.0,0.0,100.0,100.0,100.0
2008,other_or_mixed,FTC_family,0,2,2.0,0.0,0.0,0.0,100.0,0.0,0.0
2008,other_or_mixed,FTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2008,other_or_mixed,PTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2008,other_or_mixed,other_histology,0,9,7.0,7.0,7.0,2.0,77.78,77.78,77.78
2008,other_or_mixed,other_histology,1,11,11.0,11.0,11.0,0.0,100.0,100.0,100.0
2008,other_or_mixed,unknown_histology,0,16,9.0,3.0,3.0,7.0,56.25,18.75,18.75
2008,total_or_near_total,FTC_family,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2008,total_or_near_total,PTC_family,0,25,25.0,4.0,4.0,0.0,100.0,16.0,16.0
2008,total_or_near_total,PTC_family,1,36,36.0,36.0,36.0,0.0,100.0,100.0,100.0
2008,total_or_near_total,other_histology,0,2,2.0,1.0,1.0,0.0,100.0,50.0,50.0
2008,total_or_near_total,other_histology,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2008,total_or_near_total,unknown_histology,0,49,48.0,5.0,5.0,1.0,97.96,10.2,10.2
2008,total_or_near_total,unknown_histology,1,12,12.0,12.0,12.0,0.0,100.0,100.0,100.0
2009,lobectomy_hemi,FTC_family,0,6,6.0,0.0,0.0,0.0,100.0,0.0,0.0
2009,lobectomy_hemi,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2009,lobectomy_hemi,PTC_family,0,16,16.0,2.0,2.0,0.0,100.0,12.5,12.5
2009,lobectomy_hemi,PTC_family,1,11,11.0,11.0,11.0,0.0,100.0,100.0,100.0
2009,lobectomy_hemi,other_histology,0,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2009,lobectomy_hemi,other_histology,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2009,lobectomy_hemi,unknown_histology,0,113,109.0,5.0,5.0,4.0,96.46,4.42,4.42
2009,lobectomy_hemi,unknown_histology,1,39,39.0,39.0,39.0,0.0,100.0,100.0,100.0
2009,other_or_mixed,PTC_family,1,3,3.0,0.0,0.0,0.0,100.0,0.0,0.0
2009,other_or_mixed,other_histology,0,11,11.0,11.0,11.0,0.0,100.0,100.0,100.0
2009,other_or_mixed,other_histology,1,13,13.0,8.0,8.0,0.0,100.0,61.54,61.54
2009,other_or_mixed,unknown_histology,0,6,4.0,3.0,3.0,2.0,66.67,50.0,50.0
2009,other_or_mixed,unknown_histology,1,3,3.0,3.0,3.0,0.0,100.0,100.0,100.0
2009,total_or_near_total,FTC_family,0,4,4.0,0.0,0.0,0.0,100.0,0.0,0.0
