# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T06:46:38.421027+00:00
schema,name,object_type,row_count,disposition,identical_in_archive_pub_v1_0,identical_in_archive_legacy,proposed_target_name,justification
main,linkage_ambiguity_review_v1,BASE TABLE,5593,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__linkage_ambiguity_review_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,linkage_master_v1,BASE TABLE,11506,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__linkage_master_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,linkage_summary_v,VIEW,10871,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__linkage_summary_v_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,linkage_summary_v3,BASE TABLE,5,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__linkage_summary_v3_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,ln_crossval_v1,BASE TABLE,4290,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__ln_crossval_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,ln_master_rollup_v1,BASE TABLE,4290,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__ln_master_rollup_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,ln_x_marker_audit_v1,BASE TABLE,53,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__ln_x_marker_audit_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,longitudinal_lab_canonical_v1,BASE TABLE,77960,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__longitudinal_lab_canonical_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,manuscript_cohort_v1,BASE TABLE,10871,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__manuscript_cohort_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,md_extracted_fna_bethesda_v1,BASE TABLE,5249,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__md_extracted_fna_bethesda_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,md_path_synoptics_encounter_qc_v1,BASE TABLE,11688,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__md_path_synoptics_encounter_qc_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,md_synoptic_tumor_long_v1,BASE TABLE,11103,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__md_synoptic_tumor_long_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,md_val_path_synoptic_encounter_isolation_v1,BASE TABLE,3,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__md_val_path_synoptic_encounter_isolation_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_assay_dictionary,BASE TABLE,4,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_assay_dictionary_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_code_crosswalk,BASE TABLE,44,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_code_crosswalk_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_ingestion_runs,BASE TABLE,1,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_ingestion_runs_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_normalization_review_v1,VIEW,116,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_normalization_review_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_qc_summary_v,VIEW,2,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_qc_summary_v_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,molecular_results,BASE TABLE,10862,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__molecular_results_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
