# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:36:53.491861+00:00
schema,name,object_type,source_row_count,source_column_count,target_name,target_fq,view_ddl_preserved,view_materialized_target,elapsed_seconds,status,error
mm_contract_dev,dim_patient_mm_v1,BASE TABLE,11506,10,mm_contract_dev__dim_patient_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__dim_patient_mm_v1_20260417T073708Z""",False,,2.36,OK,
mm_contract_dev,fact_fna_mm_v1,BASE TABLE,8119,16,mm_contract_dev__fact_fna_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__fact_fna_mm_v1_20260417T073708Z""",False,,1.22,OK,
mm_contract_dev,fact_genetics_mm_v1,BASE TABLE,10126,16,mm_contract_dev__fact_genetics_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__fact_genetics_mm_v1_20260417T073708Z""",False,,1.05,OK,
mm_contract_dev,fact_imaging_mm_v1,BASE TABLE,19891,19,mm_contract_dev__fact_imaging_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__fact_imaging_mm_v1_20260417T073708Z""",False,,1.46,OK,
mm_contract_dev,fact_path_report_mm_v1,BASE TABLE,11688,15,mm_contract_dev__fact_path_report_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__fact_path_report_mm_v1_20260417T073708Z""",False,,1.15,OK,
mm_contract_dev,fact_surgery_mm_v1,BASE TABLE,12326,17,mm_contract_dev__fact_surgery_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__fact_surgery_mm_v1_20260417T073708Z""",False,,2.48,OK,
mm_contract_dev,fact_tumor_mm_v1,BASE TABLE,11691,21,mm_contract_dev__fact_tumor_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__fact_tumor_mm_v1_20260417T073708Z""",False,,1.11,OK,
mm_contract_dev,imaging_fna_linkage_mm_v1,BASE TABLE,3558,22,mm_contract_dev__imaging_fna_linkage_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__imaging_fna_linkage_mm_v1_20260417T073708Z""",False,,1.0,OK,
mm_contract_dev,link_imaging_fna_mm_v1,BASE TABLE,3558,28,mm_contract_dev__link_imaging_fna_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__link_imaging_fna_mm_v1_20260417T073708Z""",False,,1.07,OK,
mm_contract_dev,link_surgery_context_mm_v1,BASE TABLE,9371,21,mm_contract_dev__link_surgery_context_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__link_surgery_context_mm_v1_20260417T073708Z""",False,,1.11,OK,
mm_contract_dev,link_surgery_path_mm_v1,BASE TABLE,9417,22,mm_contract_dev__link_surgery_path_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__link_surgery_path_mm_v1_20260417T073708Z""",False,,1.47,OK,
mm_contract_dev,map_patient_identifier_mm_v1,BASE TABLE,11506,10,mm_contract_dev__map_patient_identifier_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__map_patient_identifier_mm_v1_20260417T073708Z""",False,,1.24,OK,
mm_contract_dev,review_queue_imaging_fna_mm_v1,BASE TABLE,1915,9,mm_contract_dev__review_queue_imaging_fna_mm_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__review_queue_imaging_fna_mm_v1_20260417T073708Z""",False,,1.9,OK,
mm_contract_dev,val_imaging_fna_linkage_audit_v1,BASE TABLE,1,9,mm_contract_dev__val_imaging_fna_linkage_audit_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""mm_contract_dev__val_imaging_fna_linkage_audit_v1_20260417T073708Z""",False,,1.05,OK,
qa,concordance_summary,BASE TABLE,139,9,qa__concordance_summary_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__concordance_summary_20260417T073708Z""",False,,1.05,OK,
qa,domain_validation,BASE TABLE,161,12,qa__domain_validation_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__domain_validation_20260417T073708Z""",False,,1.06,OK,
qa,manual_review_queue,BASE TABLE,5622,16,qa__manual_review_queue_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__manual_review_queue_20260417T073708Z""",False,,1.06,OK,
qa,promotion_review_decisions,BASE TABLE,6,15,qa__promotion_review_decisions_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__promotion_review_decisions_20260417T073708Z""",False,,1.06,OK,
qa,promotion_scorecard,BASE TABLE,56,8,qa__promotion_scorecard_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__promotion_scorecard_20260417T073708Z""",False,,1.05,OK,
qa,release_manifest,BASE TABLE,12,7,qa__release_manifest_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__release_manifest_20260417T073708Z""",False,,1.2,OK,
qa,specimen_genomic_link_review_v1,BASE TABLE,10155,10,qa__specimen_genomic_link_review_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__specimen_genomic_link_review_v1_20260417T073708Z""",False,,1.59,OK,
qa,specimen_merge_review_queue_v1,BASE TABLE,1,19,qa__specimen_merge_review_queue_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__specimen_merge_review_queue_v1_20260417T073708Z""",False,,1.17,OK,
qa,t_diag_specimen_focus_qa_metrics_v1,BASE TABLE,1,6,qa__t_diag_specimen_focus_qa_metrics_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__t_diag_specimen_focus_qa_metrics_v1_20260417T073708Z""",False,,1.05,OK,
qa,v_diag_specimen_duplicate_focus_fp_v1,VIEW,0,2,qa__v_diag_specimen_duplicate_focus_fp_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_duplicate_focus_fp_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_duplicate_focus_fp_v1_20260417T073708Z_view_materialized""",1.2,OK,
qa,v_diag_specimen_duplicate_master_fp_v1,VIEW,0,2,qa__v_diag_specimen_duplicate_master_fp_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_duplicate_master_fp_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_duplicate_master_fp_v1_20260417T073708Z_view_materialized""",1.08,OK,
qa,v_diag_specimen_genomics_A_tier_requires_specimen_v1,VIEW,0,5,qa__v_diag_specimen_genomics_A_tier_requires_specimen_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_A_tier_requires_specimen_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_A_tier_requires_specimen_v1_20260417T073708Z_view_materialized""",1.02,OK,
qa,v_diag_specimen_genomics_dupe_thyroseq_slice_v1,VIEW,0,5,qa__v_diag_specimen_genomics_dupe_thyroseq_slice_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_dupe_thyroseq_slice_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_dupe_thyroseq_slice_v1_20260417T073708Z_view_materialized""",1.07,OK,
qa,v_diag_specimen_genomics_thyroseq_ordinality_v1,VIEW,0,4,qa__v_diag_specimen_genomics_thyroseq_ordinality_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_thyroseq_ordinality_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_thyroseq_ordinality_v1_20260417T073708Z_view_materialized""",1.05,OK,
qa,v_diag_specimen_genomics_tier_enum_v1,VIEW,0,5,qa__v_diag_specimen_genomics_tier_enum_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_tier_enum_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_genomics_tier_enum_v1_20260417T073708Z_view_materialized""",1.05,OK,
qa,v_diag_specimen_orphan_focus_master_v1,VIEW,0,4,qa__v_diag_specimen_orphan_focus_master_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_focus_master_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""qa__v_diag_specimen_orphan_focus_master_v1_20260417T073708Z_view_materialized""",1.04,OK,
